Arquivo;Processos;Threads;Fitness (Sequencial);Geração (Sequencial);Tempo (Sequencial);Fitness (Meu);Geração (Meu);Tempo (Meu);Gerações (Total);Tempo (Total);Cromossomos;Conjunto Elite;Mínimo de Gerações
CyberShake_50.xml.dag;4;1;799;-1;0;971;200;9.06;232;10.67;6;3;100
CyberShake_50.xml.dag;4;1;799;-1;0;970;205;10.1228;306;14.1162;6;3;100
CyberShake_50.xml.dag;4;1;799;-1;0;970;249;11.1109;392;17.5493;6;3;100
CyberShake_50.xml.dag;4;1;799;-1;0;970;144;7.87888;255;13.2997;6;3;100
CyberShake_50.xml.dag;4;1;799;-1;0;969;121;6.88732;234;13.2704;6;3;100
CyberShake_50.xml.dag;4;1;799;-1;0;969;63;7.31322;209;25.473;12;6;100
CyberShake_50.xml.dag;4;1;799;-1;0;965;128;17.1405;246;35.282;12;6;100
CyberShake_50.xml.dag;4;1;799;-1;0;970;208;26.5791;310;40.8411;12;6;100
CyberShake_50.xml.dag;4;1;799;-1;0;969;111;14.9556;225;36.8403;12;6;100
CyberShake_50.xml.dag;4;1;799;-1;0;971;42;3.95158;163;21.6298;12;6;100
CyberShake_50.xml.dag;4;1;799;-1;0;966;279;85.5269;351;109.636;25;12;100
CyberShake_50.xml.dag;4;1;799;-1;0;967;96;25.0857;197;57.7058;25;12;100
CyberShake_50.xml.dag;4;1;799;-1;0;968;187;44.1046;288;72.5802;25;12;100
CyberShake_50.xml.dag;4;1;799;-1;0;969;92;29.2506;193;66.7752;25;12;100
CyberShake_50.xml.dag;4;1;799;-1;0;970;76;18.8896;186;46.8758;25;12;100
CyberShake_100.xml.dag;4;1;1773;-1;0;1877;163;41.4948;297;78.4219;6;3;100
CyberShake_100.xml.dag;4;1;1773;-1;0;1881;27;13.6309;128;43.0946;6;3;100
CyberShake_100.xml.dag;4;1;1773;-1;0;1929;38;12.2732;165;37.7696;6;3;100
CyberShake_100.xml.dag;4;1;1773;-1;0;1901;127;33.14;128;33.14;6;3;100
CyberShake_100.xml.dag;4;1;1773;-1;0;1881;172;41.2102;273;76.3593;6;3;100
CyberShake_100.xml.dag;4;1;1773;417;386.311;1770;417;386.311;518;487.532;12;6;100
CyberShake_100.xml.dag;4;1;1773;-1;0;1835;314;279.088;386;358.621;12;6;100
CyberShake_100.xml.dag;4;1;1773;596;486.579;1773;596;486.579;697;598.301;12;6;100
CyberShake_100.xml.dag;4;1;1773;-1;0;1825;348;278.642;447;352.444;12;6;100
CyberShake_100.xml.dag;4;1;1773;-1;0;1806;266;197.369;272;206.835;12;6;100
CyberShake_100.xml.dag;4;1;1773;-1;0;1823;154;198.888;271;357.291;25;12;100
CyberShake_100.xml.dag;4;1;1773;-1;0;1833;180;291.6;302;497.019;25;12;100
CyberShake_100.xml.dag;4;1;1773;-1;0;1834;143;212.753;247;422.225;25;12;100
CyberShake_100.xml.dag;4;1;1773;-1;0;1778;371;605.85;472;787.823;25;12;100
CyberShake_100.xml.dag;4;1;1773;-1;0;1825;253;385.489;386;633.27;25;12;100
CYBERSHAKE.n.200.19.dax.dag;4;1;2326;-1;0;2593;112;177.901;217;418.858;6;3;100
CYBERSHAKE.n.200.19.dax.dag;4;1;2326;-1;0;2621;54;65.6404;176;288.836;6;3;100
CYBERSHAKE.n.200.19.dax.dag;4;1;2326;-1;0;2465;202;444.175;303;633.203;6;3;100
CYBERSHAKE.n.200.19.dax.dag;4;1;2326;-1;0;2509;95;173.969;217;409.901;6;3;100
CYBERSHAKE.n.200.19.dax.dag;4;1;2326;-1;0;2412;174;277.89;301;538.871;6;3;100
CYBERSHAKE.n.200.19.dax.dag;4;1;2326;-1;0;2469;131;637.883;237;1227.18;12;6;100
CYBERSHAKE.n.200.19.dax.dag;4;1;2326;-1;0;2560;126;614.05;237;1234.86;12;6;100
CYBERSHAKE.n.200.19.dax.dag;4;1;2326;-1;0;2494;69;264.887;202;940.383;12;6;100
CYBERSHAKE.n.200.19.dax.dag;4;1;2326;-1;0;2513;79;314.697;180;901.771;12;6;100
CYBERSHAKE.n.200.19.dax.dag;4;1;2326;-1;0;2489;73;269.472;194;851.494;12;6;100
CYBERSHAKE.n.200.19.dax.dag;4;1;2326;-1;0;2329;195;1268.95;196;1268.96;25;12;100
CYBERSHAKE.n.200.19.dax.dag;4;1;2326;-1;0;2398;158;1154.11;167;1283.39;25;12;100
CYBERSHAKE.n.200.19.dax.dag;4;1;2326;-1;0;2507;172;1107.41;188;1291.06;25;12;100
CYBERSHAKE.n.200.19.dax.dag;4;1;2326;-1;0;2521;175;966.251;197;1249.07;25;12;100
CYBERSHAKE.n.200.19.dax.dag;4;1;2326;-1;0;2503;118;699.361;166;1265.38;25;12;100
Montage_50.xml.dag;4;1;171;-1;0;174;49;2.71664;150;7.35411;6;3;100
Montage_50.xml.dag;4;1;171;-1;0;172;124;5.13283;234;8.69283;6;3;100
Montage_50.xml.dag;4;1;171;-1;0;172;176;6.40695;292;9.87491;6;3;100
Montage_50.xml.dag;4;1;171;-1;0;172;191;8.70385;279;11.7681;6;3;100
Montage_50.xml.dag;4;1;171;-1;0;176;121;4.88;122;4.88;6;3;100
Montage_50.xml.dag;4;1;171;131;12.6964;171;131;12.6964;232;24.4395;12;6;100
Montage_50.xml.dag;4;1;171;-1;0;172;192;20.0223;305;30.5659;12;6;100
Montage_50.xml.dag;4;1;171;-1;0;172;50;4.54859;151;16.0811;12;6;100
Montage_50.xml.dag;4;1;171;-1;0;172;81;7.62748;189;19.518;12;6;100
Montage_50.xml.dag;4;1;171;-1;0;172;197;20.8734;299;32.8855;12;6;100
Montage_50.xml.dag;4;1;171;-1;0;172;48;8.13848;152;30.0952;25;12;100
Montage_50.xml.dag;4;1;171;-1;0;172;160;29.3406;262;50.1863;25;12;100
Montage_50.xml.dag;4;1;171;-1;0;172;64;14.2003;177;38.0107;25;12;100
Montage_50.xml.dag;4;1;171;-1;0;172;78;13.4722;179;36.4637;25;12;100
Montage_50.xml.dag;4;1;171;-1;0;172;28;4.93701;147;26.9896;25;12;100
Montage_100.xml.dag;4;1;362;-1;0;380;46;12.3591;147;34.6696;6;3;100
Montage_100.xml.dag;4;1;362;-1;0;384;163;31.57;164;31.57;6;3;100
Montage_100.xml.dag;4;1;362;-1;0;388;35;9.68902;136;33.5314;6;3;100
Montage_100.xml.dag;4;1;362;-1;0;377;201;42.7138;302;71.1217;6;3;100
Montage_100.xml.dag;4;1;362;-1;0;383;67;15.9752;170;42.3862;6;3;100
Montage_100.xml.dag;4;1;362;-1;0;378;309;234.05;424;303.395;12;6;100
Montage_100.xml.dag;4;1;362;251;190.211;360;252;192.513;341;273.547;12;6;100
Montage_100.xml.dag;4;1;362;-1;0;383;129;94.6261;206;149.638;12;6;100
Montage_100.xml.dag;4;1;362;-1;0;363;235;187.753;348;261.907;12;6;100
Montage_100.xml.dag;4;1;362;-1;0;387;12;5.21726;137;98.0152;12;6;100
Montage_100.xml.dag;4;1;362;176;246.212;362;176;246.212;309;410.367;25;12;100
Montage_100.xml.dag;4;1;362;311;414.18;356;486;636.97;488;640.9;25;12;100
Montage_100.xml.dag;4;1;362;240;371.788;358;305;465.883;411;623.838;25;12;100
Montage_100.xml.dag;4;1;362;242;370.884;355;311;459.877;414;604.102;25;12;100
Montage_100.xml.dag;4;1;362;137;181.967;353;160;208.352;262;361.506;25;12;100
MONTAGE.n.200.0.dax.dag;4;1;781;-1;0;810;54;80.0718;159;250.593;6;3;100
MONTAGE.n.200.0.dax.dag;4;1;781;-1;0;792;45;124.198;198;383.731;6;3;100
MONTAGE.n.200.0.dax.dag;4;1;781;-1;0;790;205;365.333;326;541.132;6;3;100
MONTAGE.n.200.0.dax.dag;4;1;781;-1;0;792;45;125.494;198;377.3;6;3;100
MONTAGE.n.200.0.dax.dag;4;1;781;-1;0;792;109;148.044;217;405.654;6;3;100
MONTAGE.n.200.0.dax.dag;4;1;781;-1;0;807;35;209.351;145;841.747;12;6;100
MONTAGE.n.200.0.dax.dag;4;1;781;-1;0;783;18;177.854;119;871.01;12;6;100
MONTAGE.n.200.0.dax.dag;4;1;781;-1;0;783;98;647.957;208;1245.84;12;6;100
MONTAGE.n.200.0.dax.dag;4;1;781;-1;0;786;84;584.053;199;1213.51;12;6;100
MONTAGE.n.200.0.dax.dag;4;1;781;-1;0;789;10;62.7898;149;848.201;12;6;100
MONTAGE.n.200.0.dax.dag;4;1;781;-1;0;790;70;618.351;131;1261.44;25;12;100
MONTAGE.n.200.0.dax.dag;4;1;781;-1;0;789;32;224.354;135;1170.81;25;12;100
MONTAGE.n.200.0.dax.dag;4;1;781;-1;0;792;51;376.488;147;1268.75;25;12;100
MONTAGE.n.200.0.dax.dag;4;1;781;-1;0;792;59;420.583;142;1253.07;25;12;100
