Arquivo;Processos;Threads;Fitness (Sequencial);Geração (Sequencial);Tempo (Sequencial);Fitness (Meu);Geração (Meu);Tempo (Meu);Gerações (Total);Tempo (Total);Cromossomos;Conjunto Elite;Mínimo de Gerações
CyberShake_50.xml.dag;4;2;799;-1;0;971;215;10.5371;327;14.9507;6;3;100
CyberShake_50.xml.dag;4;2;799;-1;0;972;88;4.96423;201;9.18932;6;3;100
CyberShake_50.xml.dag;4;2;799;-1;0;969;409;19.0408;553;25.0223;6;3;100
CyberShake_50.xml.dag;4;2;799;-1;0;974;83;4.18395;184;8.51526;6;3;100
CyberShake_50.xml.dag;4;2;799;-1;0;972;155;6.96413;308;14.0037;6;3;100
CyberShake_50.xml.dag;4;2;799;-1;0;970;214;10.302;315;14.4526;6;3;100
CyberShake_50.xml.dag;4;2;799;-1;0;962;103;5.58192;211;8.83086;6;3;100
CyberShake_50.xml.dag;4;2;799;-1;0;972;396;18.16;400;18.71;6;3;100
CyberShake_50.xml.dag;4;2;799;-1;0;965;236;11.1561;337;15.5896;6;3;100
CyberShake_50.xml.dag;4;2;799;-1;0;969;112;6.36515;282;14.2247;6;3;100
CyberShake_50.xml.dag;4;2;799;-1;0;967;322;52.3762;455;71.9151;12;6;100
CyberShake_50.xml.dag;4;2;799;-1;0;964;211;33.4492;312;50.9711;12;6;100
CyberShake_50.xml.dag;4;2;799;-1;0;969;189;27.9517;290;51.0642;12;6;100
CyberShake_50.xml.dag;4;2;799;-1;0;969;146;19.9704;247;38.3556;12;6;100
CyberShake_50.xml.dag;4;2;799;-1;0;969;127;13.1024;235;30.9423;12;6;100
CyberShake_50.xml.dag;4;2;799;-1;0;965;95;12.8256;222;29.2831;12;6;100
CyberShake_50.xml.dag;4;2;799;-1;0;962;446;121.741;549;152.119;25;12;100
CyberShake_50.xml.dag;4;2;799;-1;0;967;156;40.7595;275;71.7205;25;12;100
CyberShake_50.xml.dag;4;2;799;-1;0;961;188;44.5886;299;70.0134;25;12;100
CyberShake_50.xml.dag;4;2;799;-1;0;965;191;48.2947;288;70.753;25;12;100
CyberShake_50.xml.dag;4;2;799;-1;0;968;236;52.8097;353;90.7007;25;12;100
CyberShake_50.xml.dag;4;2;799;-1;0;964;169;40.7021;295;72.7302;25;12;100
CyberShake_50.xml.dag;4;2;799;-1;0;969;53;10.7788;176;53.5835;25;12;100
CyberShake_100.xml.dag;4;2;1773;-1;0;1879;116;29.6971;224;62.5533;6;3;100
CyberShake_100.xml.dag;4;2;1773;-1;0;1877;82;27.3339;183;60.9838;6;3;100
CyberShake_100.xml.dag;4;2;1773;-1;0;1857;31;10.1247;132;41.5514;6;3;100
CyberShake_100.xml.dag;4;2;1773;-1;0;1871;202;55.0374;307;88.8735;6;3;100
CyberShake_100.xml.dag;4;2;1773;-1;0;1874;185;46.7872;286;85.5755;6;3;100
CyberShake_100.xml.dag;4;2;1773;-1;0;1880;63;57.0848;190;148.296;12;6;100
CyberShake_100.xml.dag;4;2;1773;-1;0;1776;338;279.167;439;369.884;12;6;100
CyberShake_100.xml.dag;4;2;1773;-1;0;1780;455;354.83;568;433.342;12;6;100
CyberShake_100.xml.dag;4;2;1773;-1;0;1873;144;86.1352;281;197.691;12;6;100
CyberShake_100.xml.dag;4;2;1773;-1;0;1828;278;232.33;293;246.01;12;6;100
CyberShake_100.xml.dag;4;2;1773;374;569.762;1773;374;569.762;480;751.034;25;12;100
CyberShake_100.xml.dag;4;2;1773;-1;0;1823;196;266.656;299;453.04;25;12;100
CyberShake_100.xml.dag;4;2;1773;-1;0;1822;94;135.732;213;298.616;25;12;100
CyberShake_100.xml.dag;4;2;1773;-1;0;1829;244;414.512;345;620.405;25;12;100
CyberShake_100.xml.dag;4;2;1773;23;22.1934;1092;696;928.055;805;1107.76;25;12;100
CYBERSHAKE.n.200.19.dax.dag;4;2;2326;-1;0;2662;177;369.797;301;587.763;6;3;100
CYBERSHAKE.n.200.19.dax.dag;4;2;2326;-1;0;2577;111;177.329;212;390.379;6;3;100
CYBERSHAKE.n.200.19.dax.dag;4;2;2326;-1;0;2458;106;243.415;244;556.221;6;3;100
CYBERSHAKE.n.200.19.dax.dag;4;2;2326;-1;0;2544;75;89.8211;179;282.388;6;3;100
CYBERSHAKE.n.200.19.dax.dag;4;2;2326;-1;0;2523;107;223.249;208;525.414;6;3;100
CYBERSHAKE.n.200.19.dax.dag;4;2;2326;-1;0;2440;225;1083.49;252;1252.76;12;6;100
CYBERSHAKE.n.200.19.dax.dag;4;2;2326;-1;0;2414;87;213.991;214;792.243;12;6;100
CYBERSHAKE.n.200.19.dax.dag;4;2;2326;-1;0;2351;219;975.557;253;1228.07;12;6;100
CYBERSHAKE.n.200.19.dax.dag;4;2;2326;-1;0;2418;227;1201.46;232;1234.43;12;6;100
CYBERSHAKE.n.200.19.dax.dag;4;2;2326;-1;0;2514;207;1054.36;230;1245.58;12;6;100
CYBERSHAKE.n.200.19.dax.dag;4;2;2326;-1;0;2488;117;775.826;150;1256;25;12;100
CYBERSHAKE.n.200.19.dax.dag;4;2;2326;-1;0;2393;142;1177.69;148;1254.17;25;12;100
CYBERSHAKE.n.200.19.dax.dag;4;2;2326;-1;0;2473;166;1153.16;175;1286.98;25;12;100
CYBERSHAKE.n.200.19.dax.dag;4;2;2326;-1;0;2382;135;903.554;158;1260.86;25;12;100
CYBERSHAKE.n.200.19.dax.dag;4;2;2326;-1;0;2506;122;897.575;148;1254.74;25;12;100
Montage_50.xml.dag;4;2;171;-1;0;176;123;4.50193;224;8.11865;6;3;100
Montage_50.xml.dag;4;2;171;-1;0;172;200;8.86398;301;12.3928;6;3;100
Montage_50.xml.dag;4;2;171;-1;0;177;23;0.94584;179;5.23487;6;3;100
Montage_50.xml.dag;4;2;171;-1;0;177;13;0.730969;114;5.3679;6;3;100
Montage_50.xml.dag;4;2;171;-1;0;172;95;3.30908;236;7.82623;6;3;100
Montage_50.xml.dag;4;2;171;-1;0;173;131;5.12;133;5.19;6;3;100
Montage_50.xml.dag;4;2;171;-1;0;176;40;1.8215;169;6.38408;6;3;100
Montage_50.xml.dag;4;2;171;-1;0;176;56;2.67378;198;7.01181;6;3;100
Montage_50.xml.dag;4;2;171;148;13.1433;171;148;13.1433;231;21.1188;12;6;100
Montage_50.xml.dag;4;2;171;-1;0;172;176;17.3772;277;29.5818;12;6;100
Montage_50.xml.dag;4;2;171;-1;0;176;27;3.04332;128;14.349;12;6;100
Montage_50.xml.dag;4;2;171;-1;0;172;116;11.2748;217;21.7724;12;6;100
Montage_50.xml.dag;4;2;171;-1;0;172;220;23.7876;312;34.0269;12;6;100
Montage_50.xml.dag;4;2;171;-1;0;176;34;5.10317;151;30.7785;25;12;100
Montage_50.xml.dag;4;2;171;-1;0;172;53;8.97433;171;34.1781;25;12;100
Montage_50.xml.dag;4;2;171;-1;0;172;31;5.11726;147;27.7507;25;12;100
Montage_50.xml.dag;4;2;171;-1;0;172;31;4.5756;132;27.4338;25;12;100
Montage_50.xml.dag;4;2;171;-1;0;172;57;10.7272;158;31.8662;25;12;100
Montage_100.xml.dag;4;2;362;-1;0;380;146;33.0523;211;46.8679;6;3;100
Montage_100.xml.dag;4;2;362;-1;0;388;35;6.56595;136;30.5095;6;3;100
Montage_100.xml.dag;4;2;362;-1;0;388;35;6.7973;147;31.2987;6;3;100
Montage_100.xml.dag;4;2;362;-1;0;385;52;14.2131;155;38.3663;6;3;100
Montage_100.xml.dag;4;2;362;-1;0;384;149;32.6976;202;51.2309;6;3;100
Montage_100.xml.dag;4;2;362;-1;0;369;349;269.309;450;362.811;12;6;100
Montage_100.xml.dag;4;2;362;-1;0;386;30;13.7693;131;95.2928;12;6;100
Montage_100.xml.dag;4;2;362;-1;0;386;50;26.887;154;104.357;12;6;100
Montage_100.xml.dag;4;2;362;-1;0;384;308;225.642;319;234.431;12;6;100
Montage_100.xml.dag;4;2;362;444;330.634;360;444;330.634;572;421.326;12;6;100
Montage_100.xml.dag;4;2;362;271;384.327;355;368;528.342;500;680.932;25;12;100
Montage_100.xml.dag;4;2;362;210;291.717;358;284;398.886;385;576.492;25;12;100
Montage_100.xml.dag;4;2;362;297;397.487;360;353;468.253;470;629.568;25;12;100
Montage_100.xml.dag;4;2;362;138;234.515;353;351;526.422;452;688.989;25;12;100
Montage_100.xml.dag;4;2;362;287;450.267;360;288;455.903;384;605.511;25;12;100
MONTAGE.n.200.0.dax.dag;4;2;781;-1;0;792;93;143.68;206;348.56;6;3;100
MONTAGE.n.200.0.dax.dag;4;2;781;-1;0;792;45;120.011;169;359.577;6;3;100
MONTAGE.n.200.0.dax.dag;4;2;781;-1;0;792;45;121.275;169;380.035;6;3;100
MONTAGE.n.200.0.dax.dag;4;2;781;-1;0;792;45;124.16;191;386.34;6;3;100
MONTAGE.n.200.0.dax.dag;4;2;781;-1;0;792;82;144.454;203;387.123;6;3;100
MONTAGE.n.200.0.dax.dag;4;2;781;-1;0;792;21;162.867;134;785.811;12;6;100
MONTAGE.n.200.0.dax.dag;4;2;781;-1;0;787;87;512.336;197;1076.33;12;6;100
MONTAGE.n.200.0.dax.dag;4;2;781;-1;0;787;210;1056.48;242;1237.16;12;6;100
MONTAGE.n.200.0.dax.dag;4;2;781;-1;0;792;30;228.802;131;882.457;12;6;100
MONTAGE.n.200.0.dax.dag;4;2;781;-1;0;792;28;209.546;129;886.735;12;6;100
MONTAGE.n.200.0.dax.dag;4;2;781;-1;0;792;65;649.485;119;1238.75;25;12;100
MONTAGE.n.200.0.dax.dag;4;2;781;-1;0;792;51;394.653;142;1272.07;25;12;100
MONTAGE.n.200.0.dax.dag;4;2;781;-1;0;792;51;348.394;146;1246.08;25;12;100
MONTAGE.n.200.0.dax.dag;4;2;781;51;427.931;764;56;497.222;142;1261.53;25;12;100
MONTAGE.n.200.0.dax.dag;4;2;781;-1;0;789;96;894.536;138;1283.43;25;12;100
