Arquivo;Processos;Threads;Fitness (Sequencial);Geração (Sequencial);Tempo (Sequencial);Fitness (Meu);Geração (Meu);Tempo (Meu);Gerações (Total);Tempo (Total);Cromossomos;Conjunto Elite;Mínimo de Gerações
CyberShake_50.xml.dag;4;2;799;-1;0;969;129;0.607517;335;0.78108;3;1;100
CyberShake_50.xml.dag;4;2;799;-1;0;974;620;0.49;624;0.49;3;1;100
CyberShake_50.xml.dag;4;2;799;-1;0;975;2926;0.98;2928;0.98;3;1;100
CyberShake_50.xml.dag;4;2;799;-1;0;971;29;0.588745;236;0.830803;3;1;100
CyberShake_50.xml.dag;4;2;799;-1;0;984;161;0.72;375;0.85;3;1;100
CyberShake_50.xml.dag;4;2;799;-1;0;972;162;6.1333;538;22.9193;6;3;100
CyberShake_50.xml.dag;4;2;799;-1;0;969;475;21.4256;779;36.3204;6;3;100
CyberShake_50.xml.dag;4;2;799;-1;0;969;377;17.7983;681;37.3693;6;3;100
CyberShake_50.xml.dag;4;2;799;-1;0;970;923;58.29;991;63.14;6;3;100
CyberShake_50.xml.dag;4;2;799;-1;0;985;64;4.32206;333;20.0971;6;3;100
CyberShake_50.xml.dag;4;2;799;-1;0;960;374;44.4125;647;83.2454;12;6;100
CyberShake_50.xml.dag;4;2;799;-1;0;965;763;97.933;1132;149.325;12;6;100
CyberShake_50.xml.dag;4;2;799;-1;0;964;438;78.01;510;87.34;12;6;100
CyberShake_50.xml.dag;4;2;799;-1;0;967;458;65.9733;815;109.569;12;6;100
CyberShake_50.xml.dag;4;2;799;-1;0;965;860;148.367;1088;202.201;12;6;100
CyberShake_100.xml.dag;4;2;1773;-1;0;1924;1041;1.46544;1045;1.99297;3;1;100
CyberShake_100.xml.dag;4;2;1773;-1;0;1879;1810;1.95541;1814;2.00758;3;1;100
CyberShake_100.xml.dag;4;2;1773;-1;0;1873;5374;4.98;5397;5.05;3;1;100
CyberShake_100.xml.dag;4;2;1773;-1;0;1885;355;2.24;357;2.24;3;1;100
CyberShake_100.xml.dag;4;2;1773;-1;0;1891;401;1.88;403;1.88;3;1;100
