Arquivo;Processos;Threads;Fitness (Sequencial);Geração (Sequencial);Tempo (Sequencial);Fitness (Meu);Geração (Meu);Tempo (Meu);Gerações (Total);Tempo (Total);Cromossomos;Conjunto Elite;Mínimo de Gerações
CyberShake_50.xml.dag;1;1;799;-1;0;972;155;15.82;256;38.18;25;12;100
CyberShake_50.xml.dag;1;1;799;-1;0;969;45;5.79;146;16.13;25;12;100
CyberShake_50.xml.dag;1;1;799;-1;0;983;63;9.31;164;21.85;25;12;100
CyberShake_50.xml.dag;1;1;799;-1;0;971;85;10.25;186;30.02;25;12;100
CyberShake_50.xml.dag;1;1;799;-1;0;982;51;6.31;152;19.89;25;12;100
CyberShake_50.xml.dag;1;1;799;-1;0;978;35;6.76;136;29.93;50;25;100
CyberShake_50.xml.dag;1;1;799;-1;0;974;68;14.77;169;47.69;50;25;100
CyberShake_50.xml.dag;1;1;799;-1;0;972;130;39.39;231;95.53;50;25;100
CyberShake_50.xml.dag;1;1;799;-1;0;973;54;11.62;155;45.11;50;25;100
CyberShake_50.xml.dag;1;1;799;-1;0;970;102;23.32;203;64.39;50;25;100
CyberShake_50.xml.dag;1;1;799;-1;0;970;103;64.49;204;145.53;100;50;100
CyberShake_50.xml.dag;1;1;799;-1;0;972;38;25.76;139;87.02;100;50;100
CyberShake_50.xml.dag;1;1;799;-1;0;972;106;55.48;207;113.3;100;50;100
CyberShake_50.xml.dag;1;1;799;-1;0;970;22;8.25;123;59.1;100;50;100
CyberShake_50.xml.dag;1;1;799;-1;0;973;63;18.49;164;101.35;100;50;100
CyberShake_100.xml.dag;1;1;1773;-1;0;1884;8;4.52;109;73.91;25;12;100
CyberShake_100.xml.dag;1;1;1773;-1;0;1805;218;187.64;319;256.44;25;12;100
CyberShake_100.xml.dag;1;1;1773;-1;0;1877;144;96.77;245;149.55;25;12;100
CyberShake_100.xml.dag;1;1;1773;-1;0;1824;238;163.34;339;219.77;25;12;100
CyberShake_100.xml.dag;1;1;1773;-1;0;1854;236;154.17;337;202.6;25;12;100
CyberShake_100.xml.dag;1;1;1773;-1;0;1896;22;19.7;123;149.39;50;25;100
CyberShake_100.xml.dag;1;1;1773;-1;0;1864;156;201.84;257;348.93;50;25;100
CyberShake_100.xml.dag;1;1;1773;-1;0;1862;145;191.37;246;330.42;50;25;100
CyberShake_100.xml.dag;1;1;1773;-1;0;1858;126;167.15;227;316.22;50;25;100
CyberShake_100.xml.dag;1;1;1773;-1;0;1897;30;31.95;131;151.23;50;25;100
CyberShake_100.xml.dag;1;1;1773;-1;0;1854;107;301.57;208;572.41;100;50;100
CyberShake_100.xml.dag;1;1;1773;-1;0;1843;186;567.03;287;779.93;100;50;100
CyberShake_100.xml.dag;1;1;1773;-1;0;1835;138;441.29;239;769.84;100;50;100
CyberShake_100.xml.dag;1;1;1773;-1;0;1857;124;397.25;225;740.54;100;50;100
CyberShake_100.xml.dag;1;1;1773;-1;0;1847;119;371.53;220;677.62;100;50;100
CYBERSHAKE.n.200.19.dax.dag;1;1;2326;-1;0;2722;56;191.95;157;528.85;25;12;100
CYBERSHAKE.n.200.19.dax.dag;1;1;2326;-1;0;2740;77;216.33;178;471.63;25;12;100
CYBERSHAKE.n.200.19.dax.dag;1;1;2326;-1;0;2761;44;166.03;145;322.08;25;12;100
CYBERSHAKE.n.200.19.dax.dag;1;1;2326;-1;0;2566;33;107.16;134;321.02;25;12;100
CYBERSHAKE.n.200.19.dax.dag;1;1;2326;-1;0;2661;76;202.05;177;451.74;25;12;100
CYBERSHAKE.n.200.19.dax.dag;1;1;2326;-1;0;2540;94;688.88;163;1204.82;50;25;100
CYBERSHAKE.n.200.19.dax.dag;1;1;2326;-1;0;2620;90;588.86;169;1204.78;50;25;100
CYBERSHAKE.n.200.19.dax.dag;1;1;2326;-1;0;2551;117;862.53;171;1207.87;50;25;100
CYBERSHAKE.n.200.19.dax.dag;1;1;2326;-1;0;2712;41;383.49;142;1109.83;50;25;100
CYBERSHAKE.n.200.19.dax.dag;1;1;2326;-1;0;2629;167;1067.09;188;1213.67;50;25;100
CYBERSHAKE.n.200.19.dax.dag;1;1;2326;-1;0;2616;109;1207.35;110;1207.4;100;50;100
CYBERSHAKE.n.200.19.dax.dag;1;1;2326;-1;0;2589;47;615.94;85;1237.05;100;50;100
CYBERSHAKE.n.200.19.dax.dag;1;1;2326;-1;0;2579;78;887.41;100;1229.67;100;50;100
CYBERSHAKE.n.200.19.dax.dag;1;1;2326;-1;0;2586;78;920.49;103;1219.58;100;50;100
CYBERSHAKE.n.200.19.dax.dag;1;1;2326;-1;0;2507;78;966.34;97;1209.22;100;50;100
Montage_50.xml.dag;1;1;171;-1;0;172;208;30.99;309;43.7;25;12;100
Montage_50.xml.dag;1;1;171;-1;0;176;57;4.56;158;17.45;25;12;100
Montage_50.xml.dag;1;1;171;-1;0;172;143;20.24;244;31;25;12;100
Montage_50.xml.dag;1;1;171;-1;0;174;76;10.26;177;23.06;25;12;100
Montage_50.xml.dag;1;1;171;-1;0;174;67;7.24;168;21.04;25;12;100
Montage_50.xml.dag;1;1;171;-1;0;173;67;17.73;168;46.58;50;25;100
Montage_50.xml.dag;1;1;171;-1;0;176;22;4.8;123;33.58;50;25;100
Montage_50.xml.dag;1;1;171;-1;0;177;8;1.26;109;28.91;50;25;100
Montage_50.xml.dag;1;1;171;-1;0;177;8;1.35;109;26.54;50;25;100
Montage_50.xml.dag;1;1;171;-1;0;173;46;7.74;147;33.41;50;25;100
Montage_50.xml.dag;1;1;171;-1;0;175;71;38.29;172;101.66;100;50;100
Montage_50.xml.dag;1;1;171;-1;0;174;64;42.29;165;96.01;100;50;100
Montage_50.xml.dag;1;1;171;-1;0;173;52;23.44;153;80.98;100;50;100
Montage_50.xml.dag;1;1;171;-1;0;174;29;15.84;130;68.05;100;50;100
Montage_50.xml.dag;1;1;171;-1;0;172;32;20.26;133;72.99;100;50;100
Montage_100.xml.dag;1;1;362;-1;0;387;14;12.49;115;99.59;25;12;100
Montage_100.xml.dag;1;1;362;-1;0;389;11;8.76;112;80.63;25;12;100
Montage_100.xml.dag;1;1;362;-1;0;388;11;10.83;112;87.43;25;12;100
Montage_100.xml.dag;1;1;362;-1;0;392;11;9.33;112;84.4;25;12;100
Montage_100.xml.dag;1;1;362;-1;0;388;71;63.66;172;117.77;25;12;100
Montage_100.xml.dag;1;1;362;-1;0;396;48;88.01;149;265.2;50;25;100
Montage_100.xml.dag;1;1;362;-1;0;374;55;101.45;156;269.9;50;25;100
Montage_100.xml.dag;1;1;362;-1;0;386;27;37.77;128;228.73;50;25;100
Montage_100.xml.dag;1;1;362;-1;0;390;47;79.43;148;261.15;50;25;100
Montage_100.xml.dag;1;1;362;-1;0;371;49;91.98;150;251.7;50;25;100
Montage_100.xml.dag;1;1;362;-1;0;381;136;419.55;237;833.83;100;50;100
Montage_100.xml.dag;1;1;362;-1;0;394;133;481.14;234;756.94;100;50;100
Montage_100.xml.dag;1;1;362;-1;0;391;4;26.7;105;353.79;100;50;100
Montage_100.xml.dag;1;1;362;-1;0;387;137;486.93;238;889.31;100;50;100
Montage_100.xml.dag;1;1;362;-1;0;384;34;140.57;135;432.45;100;50;100
MONTAGE.n.200.0.dax.dag;1;1;781;-1;0;806;21;180.4;122;680.74;25;12;100
MONTAGE.n.200.0.dax.dag;1;1;781;-1;0;811;12;144.54;113;640.23;25;12;100
MONTAGE.n.200.0.dax.dag;1;1;781;-1;0;806;21;168.36;122;690.91;25;12;100
MONTAGE.n.200.0.dax.dag;1;1;781;-1;0;798;23;293.79;124;817.03;25;12;100
MONTAGE.n.200.0.dax.dag;1;1;781;-1;0;798;23;308.42;124;811.4;25;12;100
MONTAGE.n.200.0.dax.dag;1;1;781;-1;0;823;0;0;101;1222.02;50;25;100
MONTAGE.n.200.0.dax.dag;1;1;781;-1;0;804;11;242.44;92;1216.04;50;25;100
MONTAGE.n.200.0.dax.dag;1;1;781;-1;0;804;11;239.86;105;1214.16;50;25;100
MONTAGE.n.200.0.dax.dag;1;1;781;-1;0;804;11;244.67;82;1213.06;50;25;100
MONTAGE.n.200.0.dax.dag;1;1;781;-1;0;804;11;232.01;101;1221.02;50;25;100
MONTAGE.n.200.0.dax.dag;1;1;781;-1;0;791;9;328.38;32;1217.67;100;50;100
MONTAGE.n.200.0.dax.dag;1;1;781;-1;0;808;11;432.14;41;1202.46;100;50;100
MONTAGE.n.200.0.dax.dag;1;1;781;-1;0;812;13;332.95;42;1221.89;100;50;100
MONTAGE.n.200.0.dax.dag;1;1;781;-1;0;807;9;333.72;33;1248.46;100;50;100
MONTAGE.n.200.0.dax.dag;1;1;781;-1;0;809;17;628.33;32;1223.33;100;50;100
