Arquivo;Processos;Threads;Fitness (Sequencial);Geração (Sequencial);Tempo (Sequencial);Fitness (Meu);Geração (Meu);Tempo (Meu);Gerações (Total);Tempo (Total);Cromossomos;Conjunto Elite;Mínimo de Gerações
CyberShake_50.xml.dag;1;2;799;-1;0;971;101;5.49;366;32.62;12;6;100
CyberShake_50.xml.dag;1;2;799;-1;0;964;250;15.06;453;36.14;12;6;100
CyberShake_50.xml.dag;1;2;799;-1;0;974;264;29.72;518;57.96;12;6;100
CyberShake_50.xml.dag;1;2;799;-1;0;968;62;2.93;279;17.36;12;6;100
CyberShake_50.xml.dag;1;2;799;-1;0;971;482;46.41;744;87.04;12;6;100
CyberShake_50.xml.dag;1;2;799;-1;0;969;242;53.87;387;76.6;25;12;100
CyberShake_50.xml.dag;1;2;799;-1;0;968;228;38.36;541;99.14;25;12;100
CyberShake_50.xml.dag;1;2;799;-1;0;968;554;92.59;742;121.43;25;12;100
CyberShake_50.xml.dag;1;2;799;-1;0;942;376;63.49;403;69.33;25;12;100
CyberShake_50.xml.dag;1;2;799;-1;0;970;259;69.89;437;125.91;25;12;100
CyberShake_50.xml.dag;1;2;799;-1;0;969;271;116.15;290;127.98;50;25;100
CyberShake_50.xml.dag;1;2;799;-1;0;969;463;217.67;673;329.49;50;25;100
CyberShake_50.xml.dag;1;2;799;-1;0;966;414;186.88;439;198.37;50;25;100
CyberShake_50.xml.dag;1;2;799;-1;0;969;93;26.4;295;146.81;50;25;100
CyberShake_50.xml.dag;1;2;799;-1;0;969;105;36.5;291;123.87;50;25;100
CyberShake_100.xml.dag;1;2;1773;-1;0;1889;134;59.92;310;109.21;12;6;100
CyberShake_100.xml.dag;1;2;1773;-1;0;1887;207;78.33;414;143.97;12;6;100
CyberShake_100.xml.dag;1;2;1773;-1;0;1885;108;47.69;308;113.71;12;6;100
CyberShake_100.xml.dag;1;2;1773;-1;0;1880;149;44.38;365;111.41;12;6;100
CyberShake_100.xml.dag;1;2;1773;-1;0;1895;5;2.81;271;104.36;12;6;100
CyberShake_100.xml.dag;1;2;1773;-1;0;1895;356;311.67;548;477.25;25;12;100
CyberShake_100.xml.dag;1;2;1773;-1;0;1915;8;7.06;239;197.61;25;12;100
CyberShake_100.xml.dag;1;2;1773;-1;0;1908;32;63.65;217;216.47;25;12;100
CyberShake_100.xml.dag;1;2;1773;-1;0;1851;415;332.93;437;348.2;25;12;100
CyberShake_100.xml.dag;1;2;1773;-1;0;1853;6;6.07;213;165.05;25;12;100
CyberShake_100.xml.dag;1;2;1773;-1;0;1878;321;542.58;338;578.35;50;25;100
CyberShake_100.xml.dag;1;2;1773;212;322.36;1352;560;985.12;679;1206.58;50;25;100
CyberShake_100.xml.dag;1;2;1773;-1;0;1855;200;331.08;375;671.57;50;25;100
CyberShake_100.xml.dag;1;2;1773;-1;0;1858;230;395.75;452;788.87;50;25;100
CyberShake_100.xml.dag;1;2;1773;-1;0;1848;276;451.12;471;895.22;50;25;100
CYBERSHAKE.n.200.19.dax.dag;1;2;2326;-1;0;2687;521;871.01;697;1175.82;12;6;100
CYBERSHAKE.n.200.19.dax.dag;1;2;2326;-1;0;2722;115;249;296;568.25;12;6;100
CYBERSHAKE.n.200.19.dax.dag;1;2;2326;-1;0;2758;203;404.01;393;741.22;12;6;100
CYBERSHAKE.n.200.19.dax.dag;1;2;2326;-1;0;2584;288;473.48;462;766.69;12;6;100
CYBERSHAKE.n.200.19.dax.dag;1;2;2326;-1;0;2714;281;476.81;317;512.18;12;6;100
CYBERSHAKE.n.200.19.dax.dag;1;2;2326;-1;0;2724;274;1161.21;294;1220.02;25;12;100
CYBERSHAKE.n.200.19.dax.dag;1;2;2326;-1;0;2664;352;1188.17;361;1216.22;25;12;100
CYBERSHAKE.n.200.19.dax.dag;1;2;2326;-1;0;2624;285;1148.21;301;1206.44;25;12;100
CYBERSHAKE.n.200.19.dax.dag;1;2;2326;-1;0;2800;26;144.19;237;1147.22;25;12;100
CYBERSHAKE.n.200.19.dax.dag;1;2;2326;-1;0;2564;237;798.85;357;1212.46;25;12;100
CYBERSHAKE.n.200.19.dax.dag;1;2;2326;-1;0;2719;94;865.19;152;1224.64;50;25;100
CYBERSHAKE.n.200.19.dax.dag;1;2;2326;-1;0;2658;133;896.67;170;1243.43;50;25;100
CYBERSHAKE.n.200.19.dax.dag;1;2;2326;-1;0;2714;145;1216.93;147;1222.52;50;25;100
CYBERSHAKE.n.200.19.dax.dag;1;2;2326;-1;0;2533;83;725.34;172;1234.18;50;25;100
CYBERSHAKE.n.200.19.dax.dag;1;2;2326;-1;0;2648;95;730.67;156;1228.49;50;25;100
Montage_50.xml.dag;1;2;171;-1;0;176;38;2.55;219;14.08;12;6;100
Montage_50.xml.dag;1;2;171;-1;0;173;249;20.51;449;35.55;12;6;100
Montage_50.xml.dag;1;2;171;-1;0;173;105;7.5;341;25.56;12;6;100
Montage_50.xml.dag;1;2;171;-1;0;175;81;4.12;307;21.58;12;6;100
Montage_50.xml.dag;1;2;171;-1;0;173;215;14.05;370;27.96;12;6;100
Montage_50.xml.dag;1;2;171;-1;0;173;183;33.53;372;69.83;25;12;100
Montage_50.xml.dag;1;2;171;-1;0;177;17;2.49;247;34.42;25;12;100
Montage_50.xml.dag;1;2;171;-1;0;173;202;36.23;392;70.98;25;12;100
Montage_50.xml.dag;1;2;171;-1;0;174;304;52.7;479;77.62;25;12;100
Montage_50.xml.dag;1;2;171;-1;0;173;93;22.58;313;72.68;25;12;100
Montage_50.xml.dag;1;2;171;-1;0;172;210;57.99;389;131.87;50;25;100
Montage_50.xml.dag;1;2;171;-1;0;172;81;25.35;248;87.39;50;25;100
Montage_50.xml.dag;1;2;171;-1;0;174;274;97.77;454;167.66;50;25;100
Montage_50.xml.dag;1;2;171;-1;0;176;43;17.01;284;109.73;50;25;100
Montage_50.xml.dag;1;2;171;-1;0;174;111;44.25;318;117.16;50;25;100
Montage_100.xml.dag;1;2;362;-1;0;389;34;14.92;251;102.34;12;6;100
Montage_100.xml.dag;1;2;362;-1;0;388;38;15.79;246;98.32;12;6;100
Montage_100.xml.dag;1;2;362;-1;0;388;52;19.94;256;106.55;12;6;100
Montage_100.xml.dag;1;2;362;-1;0;399;14;2.34;237;94.7;12;6;100
Montage_100.xml.dag;1;2;362;-1;0;378;172;90.64;383;192.06;12;6;100
Montage_100.xml.dag;1;2;362;-1;0;389;20;18.7;222;248.52;25;12;100
Montage_100.xml.dag;1;2;362;-1;0;393;14;16.16;207;268.16;25;12;100
Montage_100.xml.dag;1;2;362;-1;0;389;13;21.34;218;227.15;25;12;100
Montage_100.xml.dag;1;2;362;-1;0;389;5;9.62;208;231.57;25;12;100
Montage_100.xml.dag;1;2;362;-1;0;388;20;22.07;221;214.96;25;12;100
Montage_100.xml.dag;1;2;362;-1;0;391;34;58.4;219;459.94;50;25;100
Montage_100.xml.dag;1;2;362;-1;0;388;68;104.04;272;607.44;50;25;100
Montage_100.xml.dag;1;2;362;-1;0;378;233;475.97;455;1028.48;50;25;100
Montage_100.xml.dag;1;2;362;-1;0;381;159;367.77;347;749.74;50;25;100
Montage_100.xml.dag;1;2;362;-1;0;394;127;319.55;347;847.92;50;25;100
MONTAGE.n.200.0.dax.dag;1;2;781;-1;0;818;14;68.16;223;590.74;12;6;100
MONTAGE.n.200.0.dax.dag;1;2;781;-1;0;814;30;128.56;228;781.42;12;6;100
MONTAGE.n.200.0.dax.dag;1;2;781;-1;0;816;23;57.78;265;820.55;12;6;100
MONTAGE.n.200.0.dax.dag;1;2;781;-1;0;823;6;30.62;210;697.82;12;6;100
MONTAGE.n.200.0.dax.dag;1;2;781;-1;0;805;47;177.56;226;719.22;12;6;100
MONTAGE.n.200.0.dax.dag;1;2;781;-1;0;821;7;86.3;197;1220.45;25;12;100
MONTAGE.n.200.0.dax.dag;1;2;781;-1;0;795;34;311.5;157;1234.8;25;12;100
MONTAGE.n.200.0.dax.dag;1;2;781;-1;0;809;47;427.64;148;1227.96;25;12;100
MONTAGE.n.200.0.dax.dag;1;2;781;-1;0;822;34;344.94;157;1236.24;25;12;100
MONTAGE.n.200.0.dax.dag;1;2;781;-1;0;804;42;345.69;141;1222.83;25;12;100
MONTAGE.n.200.0.dax.dag;1;2;781;-1;0;805;26;558.85;69;1243.28;50;25;100
MONTAGE.n.200.0.dax.dag;1;2;781;-1;0;814;58;1188.66;63;1253.79;50;25;100
MONTAGE.n.200.0.dax.dag;1;2;781;-1;0;803;53;702.51;85;1249.94;50;25;100
MONTAGE.n.200.0.dax.dag;1;2;781;-1;0;814;65;735.84;90;1236.84;50;25;100
MONTAGE.n.200.0.dax.dag;1;2;781;-1;0;821;8;128.77;93;1259.86;50;25;100
